    Reduced Chai Values:
    6575839, 7151022, 7334710, 4978808
    9799300, 6972147, 7359533, 4268005
    8538443, 9737629, 12360024, 6810094
    14348000, 3900326, 8124058, 8495988
    248196, 13678826, 12094368, 11938321
    6865993, 14744864, 6907946, 5751269
    13449463, 13290046, 12777794, 4722611
    8750628, 9371510, 11180221, 1155147
    8964770, 2836174, 10497632, 7156938
    1375276, 9815683, 13853162, 6673778
    8692747, 8212066, 13916296, 5688765
    2883675, 197869, 435383, 14995760
    115119, 9124033, 4035361, 9546661
    4090343, 11956726, 6217680, 5998426
    4166391, 9365733, 10256031, 10768514
    8306870, 10713342, 329826, 5760426
    3057785, 14493275, 1600765, 11461587
    3427966, 9956105, 5122911, 6808169
    2794774, 13642925, 5201973, 2491533
    12870527, 12965883, 8244614, 4591430
    2941109, 14502673, 783218, 2420653
    14844770, 20601, 9426506, 7630834
    1212174, 8552160, 3822672, 12365933
    11607759, 2302802, 5634986, 12109860
    7192618, 10655965, 2984682, 12422048
    11412375, 12718342, 10465892, 13465189
    13749104, 1108389, 70664, 9186299
    460336, 1512655, 4528024, 10438854
    6509915, 8449843, 6293468, 9969359
    9552274, 6991692, 1979056, 4199837
    8475620, 12900304, 10432753, 230645
    7587358, 1221654, 7034466, 5965855
    12758585, 10897866, 6255156, 3403087
    3242073, 5025290, 12489325, 14861015
    6755099, 5743213, 13712972, 6450449
    2959007, 10320806, 4566473, 2414237
    10363059, 3090393, 7430941, 11869145
    14944827, 11110943, 9360351, 5211661
    3320238, 12705964, 12158959, 13228849
    4558644, 5649455, 6646631, 7024561
    Final Energy Values:
    3880766, 14001684, 13718481, 8132653
    13107123, 3023787, 12970567, 13283070
    14519378, 3704925, 3038562, 2542486
    14256312, 14632850, 1317846, 5557941
    1488257, 4272108, 1268089, 12913818
    7949206, 3830941, 12226443, 5731074
    14900974, 4421729, 13428852, 14881892
    8474710, 6729362, 11938148, 2482586
    13231495, 14765834, 2839430, 5414057
    4562963, 14417842, 1025770, 4756726
    5725570, 1062236, 8647401, 13510028
    2766344, 9721746, 11538289, 14075703
    647436, 1540517, 2151174, 3634477
    13808721, 8710130, 6325785, 4810096
    13394819, 3392378, 14957285, 13091742
    4777270, 10970686, 5722694, 1010113
    4215162, 12392259, 1223591, 13178497
    11388858, 13697824, 12457806, 14633857
    14248685, 11368533, 3810652, 7110357
    6588759, 7812061, 11089256, 12562103
    5173912, 359384, 5426354, 109780
    11651234, 14873612, 2495129, 3427908
    7533010, 3727292, 2730745, 7621306
    11329450, 5255703, 7853124, 8439028
    10104716, 7881710, 6080427, 14005823
    8925951, 9457951, 11727187, 1527632
    11218316, 8226496, 1097552, 12433520
    1682556, 5109050, 7335172, 2175972
    1626328, 14429091, 3737113, 4972686
    8067629, 702376, 1220084, 5351434
    12370366, 7319549, 14788852, 843146
    9887912, 5615824, 13014277, 4230151
    14816669, 5847503, 2847579, 4223898
    13187735, 13043453, 1447031, 12968336
    9570355, 2311996, 630026, 7652602
    10004227, 9358114, 12767544, 582183
    12911757, 819172, 11072147, 10210960
    11515448, 6977641, 10578345, 6340246
    1536901, 9266713, 14964355, 9208904
    1227148, 1612699, 1935195, 12214056
    1429443, 12063851, 7690058, 10993510
    185320, 8138508, 12308454, 10856376
    5893701, 12151986, 894596, 3688416
    6855532, 6405754, 9590569, 4743697
    1564169, 2220218, 4969667, 5111080
    1556459, 4469778, 622685, 2431052
    11039793, 11669202, 7333002, 404114
    2432552, 4776008, 2699571, 4751794
    4126702, 8037819, 11970628, 7858262
    7736261, 10239361, 14065971, 6741369
    3471494, 5239607, 102726, 3682734
    3588370, 8591124, 2000402, 90791
    5596559, 11091438, 87649, 9787326
    8001254, 1956384, 13755406, 8498945
    9884616, 14710458, 5960212, 5619622
    1386222, 601608, 8448230, 4551868
    14722857, 5304338, 12539846, 8507872
    1391687, 8060819, 9721470, 7569870
    13147674, 7933575, 8830189, 5421905
    1373079, 6876658, 10789801, 13527496
    5452981, 3042354, 13697706, 616222
    5643476, 1068522, 9769539, 8627086
    14502229, 10166059, 6853697, 10308113
    4722605, 8426242, 6565023, 11522421
    7266532, 9285518, 6578030, 1432233
    4228217, 2497440, 12956433, 4519456
    5828343, 9211865, 12018109, 10587141
    5751055, 10620716, 11344598, 3245268
    9412434, 5258755, 7370940, 3674309
    8241229, 5958254, 14572012, 2067929
    1602671, 1318826, 4689914, 5799148
    3114625, 2633830, 14904532, 7441289
    9794801, 8519030, 11607321, 55207
    7779100, 10152780, 3770562, 967679
    12507970, 2235546, 12240017, 10605339
    4926592, 879198, 7329814, 10970848
    11368783, 8129631, 8392860, 7082883
    813793, 11261080, 8415567, 3915108
    13917625, 3967799, 3942386, 2137313
    13860364, 9043302, 2624316, 13427504
    6084449, 11289238, 10349099, 9277618
    1365418, 1686051, 11463596, 14772591
    8934450, 593851, 6523609, 11639776
    4448330, 11836724, 13762347, 11661347
    11930651, 2971754, 8028118, 7821355
    3322161, 8139880, 5901245, 8031691
    10652875, 12601847, 10261201, 12078882
    1396650, 2275869, 1069306, 10971068
    6071558, 3975457, 592846, 10175449
    7279989, 14803348, 11766533, 5563666
    12739205, 2138221, 7800926, 1548865
    12752883, 9171353, 12352580, 11100962
    13419507, 13783261, 8243580, 10036017
    11522271, 12697753, 4392245, 9622405
    3457722, 6697339, 7607716, 426164
    7603213, 6948060, 14090659, 11399745
    799979, 11295518, 13327822, 5694625
    822773, 2226872, 11565760, 10604406
    10100190, 8896224, 11046244, 9393167
    2864467, 7380295, 2061830, 13409254
    6194606, 1469297, 10281791, 253820
    115498, 10029507, 4188756, 3548965
    12587329, 4995170, 7478415, 1518326
    4521387, 6034057, 1803744, 10591564
